#,Company,Symbol,Weight,Price,Chg,% Chg
135,Cadence Design Systems Inc.,CDNS,0.15983,193.98,-2.64,(-1.34%)
136,O'Reilly Automotive Inc.,ORLY,0.156717,836.89,-4.27,(-0.51%)
137,Sherwin-Williams Company,SHW,0.15606,220.47,-2.58,(-1.16%)
138,General Dynamics Corporation,GD,0.1543,231.09,-0.29,(-0.12%)
139,Norfolk Southern Corporation,NSC,0.154258,222.68,-1.18,(-0.53%)
140,McKesson Corporation,MCK,0.153728,359.72,-0.62,(-0.17%)
141,Valero Energy Corporation,VLO,0.151979,131.47,-0.96,(-0.72%)
142,FedEx Corporation,FDX,0.146232,202.77,-2.41,(-1.17%)
143,Dollar General Corporation,DG,0.146021,214.91,-2.2,(-1.01%)
144,Sempra Energy,SRE,0.145647,154.36,-1.3,(-0.84%)
145,AutoZone Inc.,AZO,0.145401,2558.76,-12.7,(-0.49%)
146,Pioneer Natural Resources Company,PXD,0.145173,201.37,-3.69,(-1.80%)
147,Moderna Inc.,MRNA,0.14512,140.22,-7.35,(-4.98%)
148,Emerson Electric Co.,EMR,0.144555,81.58,-0.73,(-0.89%)
149,Edwards Lifesciences Corporation,EW,0.142851,76.6,-0.98,(-1.26%)
150,Phillips 66,PSX,0.142839,100.89,0.54,(0.54%)
151,Autodesk Inc.,ADSK,0.142381,195.77,-25.4,(-11.48%)
152,General Mills Inc.,GIS,0.141929,80.27,-0.03,(-0.04%)
153,Dominion Energy Inc,D,0.141457,57.04,-0.25,(-0.44%)
154,Ford Motor Company,F,0.141384,11.87,-0.21,(-1.70%)
155,NXP Semiconductors NV,NXPI,0.140899,176.13,-4.86,(-2.69%)
156,MetLife Inc.,MET,0.140338,71.35,0.77,(1.09%)
157,American Electric Power Company Inc.,AEP,0.138746,89.87,-0.84,(-0.93%)
158,Public Storage,PSA,0.137933,292.77,-1.53,(-0.52%)
159,Moody's Corporation,MCO,0.137782,288.87,-5.57,(-1.89%)
160,Marriott International Inc. Class A,MAR,0.137708,169.98,-1.96,(-1.14%)
161,Amphenol Corporation Class A,APH,0.13753,76.64,-1.01,(-1.29%)
162,Roper Technologies Inc.,ROP,0.136076,427.05,-3.99,(-0.93%)
163,Archer-Daniels-Midland Company,ADM,0.134164,81.32,-0.73,(-0.89%)
164,American International Group Inc.,AIG,0.133381,60.01,-0.31,(-0.51%)
165,Microchip Technology Incorporated,MCHP,0.132633,79.8,-1.4,(-1.72%)
166,Parker-Hannifin Corporation,PH,0.132359,343.58,-5.43,(-1.56%)
167,Corteva Inc,CTVA,0.132034,61.32,-0.68,(-1.10%)
168,Travelers Companies Inc.,TRV,0.130651,184.87,-0.6,(-0.32%)
169,Motorola Solutions Inc.,MSI,0.130518,261.07,-2.93,(-1.11%)
170,DexCom Inc.,DXCM,0.129909,110.2,-1.67,(-1.49%)
171,Johnson Controls International plc,JCI,0.128949,62.78,-0.34,(-0.54%)
172,Occidental Petroleum Corporation,OXY,0.128173,58.37,-0.85,(-1.44%)
173,Kimberly-Clark Corporation,KMB,0.127391,126.58,-0.65,(-0.51%)
174,Nucor Corporation,NUE,0.126887,161.39,-1.9,(-1.16%)
175,Agilent Technologies Inc.,A,0.126747,141.19,-2.01,(-1.40%)
176,MSCI Inc. Class A,MSCI,0.126474,516.7,-11.09,(-2.10%)
177,Chipotle Mexican Grill Inc.,CMG,0.125369,1479.28,-43.21,(-2.84%)
178,Trane Technologies plc,TT,0.12511,181.99,0.3,(0.17%)
179,Capital One Financial Corp,COF,0.124696,108.57,-0.94,(-0.86%)
