Symbol,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume,YTD Return,Expense Ratio (net),Category,Last Cap Gain,Morningstar Rating,Morningstar Risk Rating,Sustainability Rating
MAS,48.43,48.84,49.14 x 800,50.36 x 800,48.51 - 49.79,42.33 - 58.18,"1,957,879","1,881,620",,,,,,,
HSIC,80.12,80.33,81.22 x 900,83.95 x 800,80.31 - 81.63,64.75 - 92.68,"667,466","885,438",,,,,,,
JKHY,147.98,148.88,146.32 x 800,153.97 x 900,148.81 - 151.20,139.28 - 212.62,"575,055","602,914",,,,,,,
CDAY,70.15,70.34,73.01 x 800,73.99 x 1400,69.89 - 73.46,43.23 - 79.66,"1,743,960","1,180,235",,,,,,,
CE,106.39,106.43,101.85 x 900,108.80 x 800,106.65 - 108.95,86.71 - 161.37,"720,435","1,141,043",,,,,,,
MTCH,37.61,37.58,38.39 x 800,38.85 x 800,37.50 - 38.85,34.62 - 114.36,"5,113,112","4,216,185",,,,,,,
QRVO,100.88,100.30,99.56 x 900,102.98 x 800,99.98 - 101.79,75.38 - 125.38,"941,727","1,322,674",,,,,,,
FOXA,33.67,33.80,33.90 x 1100,34.24 x 800,33.72 - 34.09,28.01 - 40.12,"3,280,123","2,893,914",,,,,,,
CCL,10.16,10.27,10.14 x 28000,10.15 x 2200,10.06 - 10.35,6.11 - 21.50,"37,314,348","41,021,669",,,,,,,
TPR,42.07,42.42,43.00 x 3100,43.63 x 800,42.31 - 43.15,26.39 - 47.48,"2,837,128","3,371,316",,,,,,,
CRL,198.03,199.74,195.69 x 800,208.14 x 1300,198.53 - 202.27,181.36 - 308.15,"465,658","574,038",,,,,,,
BIO,471.78,471.78,466.58 x 800,492.04 x 800,469.70 - 479.41,344.63 - 607.54,"142,969","171,141",,,,,,,
EMN,82.84,83.11,81.50 x 900,91.91 x 1000,83.01 - 84.45,69.91 - 113.34,"712,721","1,044,638",,,,,,,
CZR,46.87,47.43,48.50 x 1000,49.50 x 1100,47.38 - 48.90,31.31 - 80.99,"2,783,757","3,058,237",,,,,,,
GL,109.36,109.96,107.39 x 800,112.30 x 1100,109.12 - 110.20,87.87 - 123.85,"476,557","533,790",,,,,,,
KMX,61.10,61.33,64.25 x 1000,65.00 x 1300,61.16 - 64.43,52.10 - 106.24,"2,080,502","2,339,530",,,,,,,
LYV,69.20,70.00,68.73 x 1300,70.30 x 800,69.50 - 70.32,64.25 - 117.18,"1,412,356","2,077,009",,,,,,,
TAP,51.69,51.94,48.92 x 800,52.70 x 1000,51.44 - 51.94,46.69 - 60.12,"1,480,581","1,684,412",,,,,,,
GEN,16.78,16.79,16.66 x 2200,17.21 x 2200,16.69 - 17.20,15.52 - 27.33,"4,059,635","4,209,517",,,,,,,
AAL,14.47,14.61,14.71 x 800,14.74 x 1800,14.56 - 14.76,11.65 - 21.42,"12,348,748","24,695,267",,,,,,,
ALLE,105.04,105.79,104.57 x 900,109.09 x 800,105.33 - 106.85,87.33 - 123.46,"726,453","755,924",,,,,,,
