#,Company,Symbol,Weight,Price,Chg,% Chg
332,Cincinnati Financial Corporation,CINF,0.05557,112.57,0.0,(0.00%)
333,Principal Financial Group Inc.,PFG,0.055548,76.54,-0.47,(-0.61%)
334,STERIS Plc,STE,0.055197,177.5,0.0,(0.00%)
335,Skyworks Solutions Inc.,SWKS,0.055197,111.3,0.01,(0.01%)
336,Clorox Company,CLX,0.055187,150.13,0.0,(0.00%)
337,Mosaic Company,MOS,0.05513,49.42,0.34,(0.69%)
338,Invitation Homes Inc.,INVH,0.055057,30.26,0.0,(0.00%)
339,McCormick & Company Incorporated,MKC,0.055001,70.95,0.0,(0.00%)
340,Expeditors International of Washington Inc.,EXPD,0.054859,107.39,0.0,(0.00%)
341,Omnicom Group Inc,OMC,0.054697,87.46,0.0,(0.00%)
342,Northern Trust Corporation,NTRS,0.054484,84.78,-0.14,(-0.16%)
343,Xylem Inc.,XYL,0.054477,98.98,0.0,(0.00%)
344,Darden Restaurants Inc.,DRI,0.053865,143.97,0.0,(0.00%)
345,Take-Two Interactive Software Inc.,TTWO,0.053865,108.87,-1.71,(-1.55%)
346,Citizens Financial Group Inc.,CFG,0.053412,35.0,0.56,(1.63%)
347,First Republic Bank,FRC,0.053267,78.54,-3.22,(-3.94%)
348,Mid-America Apartment Communities Inc.,MAA,0.052973,149.66,0.61,(0.41%)
349,CenterPoint Energy Inc.,CNP,0.052847,27.56,0.0,(0.00%)
350,SolarEdge Technologies Inc.,SEDG,0.052577,304.24,-0.08,(-0.03%)
351,Ball Corporation,BALL,0.052204,52.54,0.0,(0.00%)
352,United Airlines Holdings Inc.,UAL,0.051933,51.0,0.03,(0.06%)
353,CMS Energy Corporation,CMS,0.051689,58.08,0.0,(0.00%)
354,EPAM Systems Inc.,EPAM,0.051604,283.99,1.25,(0.44%)
355,Targa Resources Corp.,TRGP,0.051587,73.55,0.0,(0.00%)
356,Tyson Foods Inc. Class A,TSN,0.05114,57.2,0.22,(0.39%)
357,IDEX Corporation,IEX,0.051012,219.93,0.0,(0.00%)
358,Conagra Brands Inc.,CAG,0.050686,35.01,0.0,(0.00%)
359,Broadridge Financial Solutions Inc.,BR,0.050627,136.99,0.0,(0.00%)
360,Kellogg Company,K,0.050032,63.89,0.0,(0.00%)
361,NVR Inc.,NVR,0.049634,5235.47,0.0,(0.00%)
362,Cooper Companies Inc.,COO,0.049605,324.78,0.0,(0.00%)
363,Amcor PLC,AMCR,0.049581,10.9,0.16,(1.49%)
364,CF Industries Holdings Inc.,CF,0.049115,78.47,0.0,(0.00%)
365,AES Corporation,AES,0.048686,23.58,0.32,(1.38%)
366,Teradyne Inc.,TER,0.048654,100.0,-1.29,(-1.27%)
367,Best Buy Co. Inc.,BBY,0.048434,78.5,-0.11,(-0.14%)
368,J.M. Smucker Company,SJM,0.048374,147.88,0.0,(0.00%)
369,Quest Diagnostics Incorporated,DGX,0.047764,134.31,0.0,(0.00%)
370,Marathon Oil Corporation,MRO,0.047581,24.05,0.08,(0.33%)
371,Howmet Aerospace Inc.,HWM,0.047185,40.84,0.0,(0.00%)
372,FMC Corporation,FMC,0.047161,120.56,0.0,(0.00%)
373,PerkinElmer Inc.,PKI,0.046999,120.23,0.0,(0.00%)
374,Zebra Technologies Corporation Class A,ZBRA,0.046682,287.5,-0.69,(-0.24%)
